P10-1001	2	mit.edu:1.00
P10-1002	2	ict.ac.cn:1.00
P10-1003	3	nict.go.jp:1.00
P10-1004	2	mmci.uni-saarland.de:0.50;coli.uni-saarland.de:0.50
P10-1005	2	cl.uni-heidelberg.de:1.00
P10-1006	2	nlpr.ia.ac.cn:1.00
P10-1007	1	toronto.edu:1.00
P10-1008	2	ed.ac.uk:0.50;hw.ac.uk:0.50
P10-1009	2	csie.ntnu.edu.tw:1.00
P10-1010	2	umich.edu:0.50;unimelb.edu.au:0.50
P10-1011	2	mail.huji.ac.il:0.50;cs.huji.ac.il:0.50
P10-1012	2	media.eng.hokudai.ac.jp:0.50;eli.hokkai-s-u.ac.jp:0.50
P10-1013	2	washington.edu:1.00
P10-1014	6	us.ibm.com:1.00
P10-1015	3	columbia.edu:1.00
P10-1016	3	i2r.a-star.edu.sg:1.00
P10-1017	2	isi.edu:1.00
P10-1018	3	stanford.edu:1.00
P10-1019	2	ohsu.edu:1.00
P10-1020	2	toronto.edu:1.00
P10-1021	4	ed.ac.uk:0.50;inf.ed.ac.uk:0.50
P10-1022	3	it.usyd.edu.au:0.67;meaningfactory.com:0.33
P10-1023	2	di.uniroma1.it:0.50;cl.uni-heidelberg.de:0.50
P10-1024	2	cs.huji.ac.il:1.00
P10-1025	4	info.uniroma2.it:1.00
P10-1026	5	nict.go.jp:0.80;ike.tottori-u.ac.jp:0.20
P10-1027	4	sina.cn:0.33;swufe.edu.cn:0.33;mun.ca:0.33
P10-1028	4	mist.i.u-tokyo.ac.jp:0.25;microsoft.com:0.75
P10-1029	2	utah.edu:1.00
P10-1030	3	washington.edu:1.00
P10-1031	2	washington.edu:1.00
P10-1032	3	comp.nus.edu.sg:0.67;i2r.a-star.edu.sg:0.33
P10-1033	3	mtlab.hit.edu.cn:0.33;microsoft.com:0.67
P10-1034	3	is.s.u-tokyo.ac.jp:1.00
P10-1035	2	toronto.edu:1.00
P10-1036	6	it.usyd.edu.au:0.50;cl.cam.ac.uk:0.50
P10-1037	2	i.kyoto-u.ac.jp:0.50;yahoo-corp.jp:0.50
P10-1038	2	ucsd.edu:0.50;gmail.com:0.50
P10-1039	2	cs.bris.ac.uk:0.50;bristol.ac.uk:0.50
P10-1040	3	iro.umontreal.ca:0.67;uiuc.edu:0.33
P10-1041	2	umich.edu:1.00
P10-1042	2	idi.ntnu.no:1.00
P10-1043	4	gmail.com:0.75;suda.edu.cn:0.25
P10-1044	3	washington.edu:1.00
P10-1045	1	cl.cam.ac.uk:1.00
P10-1046	2	stanford.edu:1.00
P10-1047	2	cmu.edu:1.00
P10-1048	4	ims.uni-stuttgart.de:1.00
P10-1049	3	
P10-1050	4	tkl.iis.u-tokyo.ac.jp:1.00
P10-1051	3	utexas.edu:0.33;isi.edu:0.67
P10-1052	3	limsi.fr:0.50;enst.fr:0.50
P10-1053	1	lsv.ens-cachan.fr:1.00
P10-1054	2	inria.fr:0.50;dei.unipd.it:0.50
P10-1055	3	
P10-1056	3	upenn.edu:1.00
P10-1057	2	umich.edu:1.00
P10-1058	2	ed.ac.uk:0.50;inf.ed.ac.uk:0.50
P10-1059	3	
P10-1060	3	uva.nl:1.00
P10-1061	3	postech.ac.kr:1.00
P10-1062	3	i2r.a-star.edu.sg:1.00
P10-1063	2	languageweaver.com:1.00
P10-1064	4	computing.dcu.ie:1.00
P10-1065	3	nlpr.ia.ac.cn:1.00
P10-1066	3	sjtu.edu.cn:0.67;smu.edu.sg:0.33
P10-1067	4	nudt.edu.cn:0.25;microsoft.com:0.50;buaa.edu.cn:0.25
P10-1068	1	uni-potsdam.de:1.00
P10-1069	2	
P10-1070	2	isi.edu:1.00
P10-1071	1	cl.cam.ac.uk:1.00
P10-1072	2	northwestern.edu:0.50;wustl.edu:0.50
P10-1073	3	i2r.a-star.edu.sg:0.67;comp.nus.edu.sg:0.33
P10-1074	2	stanford.edu:1.00
P10-1075	1	indiana.edu:1.00
P10-1076	4	mail.neu.edu.cn:0.75;gmail.com:0.25
P10-1077	3	leeds.ac.uk:1.00
P10-1078	2	student.uu.se:0.50;tsinghua.edu.cn:0.50
P10-1079	4	uclouvain.be:0.75;umons.ac.be:0.25
P10-1080	2	cs.ualberta.ca:1.00
P10-1081	2	nyu.edu:1.00
